Energy (cm-1)	Wavelength (nm)	Oscillator strength
31663.3266533	315.82278481	3.07729594482e-009
31603.2064128	316.423589093	2.03641042383e-009
31543.0861723	317.026683609	1.34464288949e-009
31482.9659319	317.632081477	8.85919276968e-010
31422.8456914	318.239795918	5.82407326532e-010
31362.7254509	318.849840256	3.82036568e-010
31302.6052104	319.462227913	2.50050892332e-010
31242.4849699	320.076972418	1.63304138747e-010
31182.3647295	320.694087404	1.0641705197e-010
31122.244489	321.313586607	6.91943198635e-011
31062.1242485	321.935483871	4.48926036927e-011
31002.004008	322.559793148	2.90619138794e-011
30941.8837675	323.186528497	1.87723496412e-011
30881.7635271	323.815704088	1.20992375005e-011
30821.6432866	324.4473342	7.7811224734e-012
30761.5230461	325.081433225	4.99311214087e-012
30701.4028056	325.718015666	3.19701847347e-012
30641.2825651	326.357096141	2.0425075248e-012
30581.1623246	326.998689384	1.30204746041e-012
30521.0420842	327.642810243	8.2819867415e-013
30460.9218437	328.289473684	5.25637994273e-013
30400.8016032	328.938694792	3.32876706692e-013
30340.6813627	329.590488771	2.10341243165e-013
30280.5611222	330.244870946	1.32620229576e-013
30220.4408818	330.901856764	8.34332878397e-014
30160.3206413	331.561461794	5.23736834773e-014
30100.2004008	332.223701731	3.28043164913e-014
30040.0801603	332.888592395	2.05018435235e-014
29979.9599198	333.556149733	1.27849436181e-014
29919.8396794	334.226389819	7.9551547987e-015
29859.7194389	334.899328859	4.93903725243e-015
29799.5991984	335.574983188	3.05970637427e-015
